Person_ID,Timestamp,First_Seen,Camera_ID,Location,Confidence_Pct,BBox_X,BBox_Y,BBox_W,BBox_H,Frame_Number
Person-1,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,82.3,973,312,56,114,0
Person-2,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,78.6,964,212,46,108,0
Person-3,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,78.4,442,432,54,136,0
Person-4,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,75.2,1196,96,37,85,0
Person-5,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,75.0,760,633,70,87,0
Person-6,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,74.5,499,300,49,115,0
Person-7,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,72.0,172,290,45,117,0
Person-8,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,69.1,800,85,36,94,0
Person-9,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,66.9,472,160,37,97,0
Person-10,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,63.7,132,29,44,78,0
Person-11,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,62.2,594,62,27,78,0
Person-12,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,62.2,727,30,28,67,0
Person-13,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,59.5,532,49,31,86,0
Person-14,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,59.2,569,47,27,84,0
Person-15,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,59.1,1116,7,35,85,0
Person-16,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,58.6,1075,10,28,75,0
Person-17,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,56.4,776,101,32,84,0
Person-18,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,56.0,377,173,42,97,0
Person-19,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,55.9,945,468,72,124,0
Person-20,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,54.5,617,117,36,87,0
Person-21,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,53.5,483,1,30,71,0
Person-22,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,51.3,1128,51,59,140,0
Person-23,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,48.5,229,0,40,92,0
Person-24,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,43.0,60,85,36,83,0
Person-25,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,41.8,1053,12,27,69,0
Person-26,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,41.5,1054,9,38,73,0
Person-27,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,41.5,21,528,70,131,0
Person-1,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,80.1,979,319,53,112,3
Person-2,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,79.7,968,215,47,108,3
Person-3,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,75.4,447,421,50,124,3
Person-4,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,72.7,1196,100,39,85,3
Person-5,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,79.6,759,622,70,97,3
Person-6,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,72.2,503,294,46,105,3
Person-7,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,66.1,170,294,47,112,3
Person-8,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,70.3,801,79,36,92,3
Person-9,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,65.8,473,152,37,95,3
Person-10,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,72.2,139,24,37,77,3
Person-11,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,55.7,595,57,29,80,3
Person-12,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,65.3,727,32,29,69,3
Person-13,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,59.8,533,48,28,84,3
Person-14,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,54.4,568,46,27,84,3
Person-15,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,50.9,1117,7,36,86,3
Person-16,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,53.3,1078,11,26,74,3
Person-17,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,55.8,778,97,32,86,3
Person-19,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,60.9,935,469,77,122,3
Person-20,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,61.0,618,120,35,91,3
Person-23,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,48.5,233,1,41,88,3
Person-25,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,40.8,1055,13,27,68,3
Person-28,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,46.9,655,66,38,94,3
Person-29,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,41.4,866,5,30,66,3
Person-35,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,53.1,1125,109,47,88,3
Person-1,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,51.6,979,324,52,107,6
Person-2,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,84.1,970,219,47,107,6
Person-3,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,79.8,449,411,48,120,6
Person-4,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,62.5,1195,103,43,89,6
Person-5,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,83.9,759,611,70,108,6
Person-6,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,75.2,503,285,43,104,6
Person-7,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,74.3,167,299,50,110,6
Person-8,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,76.7,801,77,35,90,6
Person-9,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,65.3,473,148,39,98,6
Person-10,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,48.8,144,20,36,78,6
Person-11,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,52.2,598,54,29,82,6
Person-12,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,62.0,727,33,30,71,6
Person-13,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,59.7,533,47,28,84,6
Person-14,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,51.8,568,44,27,84,6
Person-15,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,56.6,1117,7,39,88,6
Person-16,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,56.5,1080,11,25,74,6
Person-17,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,58.5,779,95,29,85,6
Person-19,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,65.3,930,471,76,121,6
Person-20,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,63.3,617,122,37,91,6
Person-21,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,52.8,483,0,27,63,6
Person-23,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,47.4,242,0,38,86,6
Person-25,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,47.2,1057,13,27,68,6
Person-28,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,42.8,655,70,39,95,6
Person-29,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,43.4,866,4,30,67,6
Person-30,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,57.8,1233,447,46,123,6
Person-34,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,40.5,229,328,36,97,6
Person-35,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,43.3,1128,109,53,94,6
Person-38,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,49.8,925,1,36,120,6
Person-1,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,65.0,982,329,54,113,9
Person-2,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,75.9,974,227,47,107,9
Person-3,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,79.6,450,401,49,127,9
Person-4,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,68.3,1195,104,46,89,9
Person-5,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,81.9,758,596,68,122,9
Person-6,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,65.5,504,279,40,105,9
Person-7,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,73.8,164,308,53,115,9
Person-8,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,48.1,803,74,32,92,9
Person-9,2026-03-12 08:00:00,2026-03-12 08:00:00,CAM-PEOPLE-01,Surveillance Zone A,66.6,473,144,39,100,9
